"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","dataset","epochs","finetune_epochs","learning_rate","lr","lr_backbone","lr_head","method","metric.goal","metric.name","model","name","optimizer","parameters.finetune_epochss","parameters.lr_backbone.distribution","parameters.lr_backbone.max","parameters.lr_backbone.min","parameters.lr_head.distribution","parameters.lr_head.max","parameters.lr_head.min","parameters.model","parameters.optimizers","parameters.unfreeze_layerss","parameters.warmup_epochss","parameters.weight_decays","phase","unfreeze_layers","unfrozen_layers","warmup_epochs","weight_decay","best_val_acc","best_val_f1_macro","epoch","epoch_time_s","test","train/acc","train/accuracy","train/loss","val/acc","val/f1_macro","val/loss","valid/accuracy","valid/loss"
"ConvNeXt-Small_lr2e-03_wd0.1_unfreeze3_SGD","finished","-","","","2026-04-18T11:29:01.000Z","1191","5urpalx3","","","","","10","","","0.0000025508041290662365","0.0020951200553856577","","","","ConvNeXt-Small","","SGD","","","","","","","","","","","","","2","3","","5","0.1","0.8066666666666666","0.8064810201318899","15","98.72229886054993","","0.7460636515912897","","1.4002396312165768","0.8066666666666666","0.8064810201318899","1.2762529418823567","",""
"EfficientNetV2-S_lr2e-04_wd0.1_unfreeze3_AdamW","finished","-","","","2026-04-18T11:21:05.000Z","474","4jlkqpfd","","","","","8","","","0.00008732127976656533","0.00017640552867717946","","","","EfficientNetV2-S","","AdamW","","","","","","","","","","","","","2","3","","5","0.1","0.96","0.959962669204966","13","43.4869921207428","","0.9155778894472362","","0.24539759006113449","0.96","0.959962669204966","0.12621913424276926","",""
"EfficientNetV2-S_lr6e-04_wd0.05_unfreeze3_AdamW","finished","-","","","2026-04-18T11:15:19.000Z","340","4jlkqpfd","","","","","5","","","0.00007378094747482581","0.0005956484922169098","","","","EfficientNetV2-S","","AdamW","","","","","","","","","","","","","2","3","","5","0.05","0.9413333333333334","0.9414801849630606","10","43.44677829742432","","0.892462311557789","","0.322931494088249","0.9413333333333334","0.9412638330315032","0.16147859089641256","",""
"EfficientNetV2-S_lr2e-04_wd0.1_unfreeze3_AdamW","finished","-","","","2026-04-18T11:09:38.000Z","340","4jlkqpfd","","","","","5","","","0.00007145883395763652","0.00022497547992354725","","","","EfficientNetV2-S","","AdamW","","","","","","","","","","","","","2","3","","5","0.1","0.9446666666666668","0.944660663039894","10","43.30863666534424","","0.8954773869346734","","0.3205378713442924","0.9446666666666668","0.944660663039894","0.1706655968743515","",""
"EfficientNetV2-S_lr5e-04_wd0.1_unfreeze3_AdamW","finished","-","","","2026-04-18T11:01:52.000Z","463","4jlkqpfd","","","","","8","","","0.00007683193737724375","0.0005187085733460691","","","","EfficientNetV2-S","","AdamW","","","","","","","","","","","","","2","3","","5","0.1","0.96","0.960132202507499","13","43.28874492645264","","0.9202680067001676","","0.2439199977336412","0.958","0.9580736118451516","0.13321550051431527","",""
"EfficientNetV2-S_lr2e-04_wd0.05_unfreeze3_AdamW","finished","-","","","2026-04-18T10:56:11.000Z","339","4jlkqpfd","","","","","5","","","0.00004006983685979269","0.0002015471587686719","","","","EfficientNetV2-S","","AdamW","","","","","","","","","","","","","2","3","","5","0.05","0.946","0.94598239340527","10","42.851051807403564","","0.8760469011725294","","0.3748788174955135","0.946","0.94598239340527","0.18708516905044623","",""
"EfficientNetV2-S_lr5e-04_wd0.1_unfreeze3_AdamW","finished","-","","","2026-04-18T10:50:25.000Z","340","4jlkqpfd","","","","","5","","","0.00004681093387366772","0.00049357181041111","","","","EfficientNetV2-S","","AdamW","","","","","","","","","","","","","2","3","","5","0.1","0.9406666666666668","0.9407477091748416","10","42.84934115409851","","0.8891122278056951","","0.34269568427128994","0.938","0.937755997244849","0.1782379211186669","",""
"EfficientNetV2-S_lr5e-04_wd0.05_unfreeze3_AdamW","finished","-","","","2026-04-18T10:42:28.000Z","472","4jlkqpfd","","","","","8","","","0.00005151973395099884","0.0004702259673138852","","","","EfficientNetV2-S","","AdamW","","","","","","","","","","","","","2","3","","5","0.05","0.9566666666666668","0.9567348099279108","13","43.01168179512024","","0.91356783919598","","0.25850475361531083","0.9566666666666668","0.9567348099279108","0.13386323447264928","",""
"EfficientNetV2-S_lr3e-03_wd0.1_unfreeze2_AdamW","finished","-","","","2026-04-18T10:36:42.000Z","340","4jlkqpfd","","","","","5","","","0.000005053858800081499","0.0033379698844553493","","","","EfficientNetV2-S","","AdamW","","","","","","","","","","","","","2","2","","5","0.1","0.8733333333333333","0.8743576489031013","10","43.52364444732666","","0.7688442211055276","","0.6974791979536097","0.8733333333333333","0.8743576489031013","0.3654326770969845","",""
"EfficientNetV2-S_lr9e-03_wd0.05_unfreeze0_AdamW","finished","-","","","2026-04-18T10:32:42.000Z","238","4jlkqpfd","","","","","5","","","0.000013577580792013418","0.009208849891674031","","","","EfficientNetV2-S","","AdamW","","","","","","","","","","","","","2","0","","5","0.05","0.81","0.8100560591734194","10","21.987030506134033","","0.6767169179229481","","1.1407125341765425","0.7786666666666666","0.7799034493608353","0.6416810619585375","",""
"EfficientNetV2-S_lr2e-04_wd0.01_unfreeze1_SGD","finished","-","","","2026-04-18T10:27:37.000Z","299","4jlkqpfd","","","","","10","","","0.0000010560873155471718","0.00020061976714593483","","","","EfficientNetV2-S","","SGD","","","","","","","","","","","","","2","1","","3","0.01","0.5993333333333334","0.5928113313811664","13","21.913216829299927","","0.535678391959799","","1.9327390777303817","0.5993333333333334","0.5928113313811664","1.9069594018002771","",""
"EfficientNetV2-S_lr6e-03_wd0.01_unfreeze1_SGD","finished","-","","","2026-04-18T10:21:47.000Z","346","4jlkqpfd","","","","","10","","","0.000010588745039966224","0.0058968772451320805","","","","EfficientNetV2-S","","SGD","","","","","","","","","","","","","2","1","","5","0.01","0.816","0.8169631514027117","15","21.79528498649597","","0.7125628140703517","","0.959377794823748","0.814","0.8144308615094032","0.7102945529400034","",""
"EfficientNetV2-S_lr2e-04_wd0.05_unfreeze2_AdamW","finished","-","","","2026-04-18T10:16:01.000Z","340","4jlkqpfd","","","","","5","","","0.00008071805946313489","0.00016781378367605428","","","","EfficientNetV2-S","","AdamW","","","","","","","","","","","","","2","2","","5","0.05","0.9506666666666668","0.9506328454913447","10","43.17798471450806","","0.8958123953098828","","0.31956900997047727","0.9426666666666668","0.9426895106477512","0.17122977787747662","",""
"Swin-T_finetune_last2","finished","-","","","2026-04-15T17:02:44.000Z","224","","Swin-T","32","Scene Classification","8","","0.001","","0.00001","0.0003","","","","Swin-T","","AdamW","","","","","","","","","","","","","finetune","","2","","0.01","","","8","","","","0.8532663316582915","0.4703248510969446","","","","0.918","0.24229649478133689"
"Swin-T_baseline_lr0.001_frozen","finished","-","","","2026-04-15T16:12:47.000Z","225","","Swin-T","32","Scene Classification","8","","0.001","0.001","","","","","","Swin-T","","AdamW","","","","","","","","","","","","","","","0","","0.01","","","8","","","","0.8304857621440536","0.5470097231421065","","","","0.9106666666666666","0.2749922730900506"
